K,n_per_facility,sigma,heterogeneity,is_universal,overlap,obs_overlap,r2_lofo,p_naive,p_strat,thr_says_universal,perm_says_universal,strat_says_universal,thr_correct,perm_correct,strat_correct
7,10,0.15219338396896814,0.8551574115572813,False,0.0644579588678893,0.012775057074095306,0.21243378273664326,0.01,0.01,True,False,False,False,True,True
4,67,0.25833669758165884,0.5646417351272923,True,0.6788511683069388,0.6693162950354132,0.9167723697352079,0.04,0.07,True,False,True,True,False,True
10,57,0.10858541537049538,0.8392727959351691,True,0.6559353593461821,0.6317944797987702,0.9830452484387063,0.08,0.08,True,True,True,True,True,True
8,44,0.44893453273027123,1.8385101823166003,False,0.06179039311070167,0.04715963717532612,-0.8988667667637127,0.01,0.01,False,False,False,True,True,True
10,14,0.30289953483136584,1.1241451155584434,True,0.23804928385948643,0.1565169076237328,0.9189234200307875,0.68,0.9,True,True,True,True,True,True
9,20,0.5027148828861827,1.9817557243271096,True,0.970257949401396,0.8898153689125093,0.7853071662927577,0.28,0.32,True,True,True,True,True,True
8,42,0.43880057633972486,1.977056373694251,False,0.7968766757318979,0.7859098859054526,-0.09029655106169865,0.01,0.01,False,False,False,True,True,True
11,26,0.08529028046204941,1.3189516864724065,True,0.8027596340658634,0.7636543904126775,0.9895277181826282,0.58,0.45,True,True,True,True,True,True
4,19,0.20623080161689544,1.999121601201367,True,0.16445207751306845,0.139816013647612,0.9517795808869504,1.0,0.98,True,True,True,True,True,True
3,21,0.09892797107551557,1.8056459458050005,False,0.801810296905882,0.7969153295085613,-1.0712699887984471,0.01,0.01,False,False,False,True,True,True
4,67,0.542629626863913,1.394241310500446,False,0.4249247533916596,0.40690993185748775,0.5796231325756463,0.01,0.01,True,False,False,False,True,True
3,35,0.273147810802916,0.8692725838938433,False,0.4639991103181873,0.4678458910685661,-1.3283110810616572,0.01,0.01,False,False,False,True,True,True
5,19,0.2024222374291978,1.7324585768057676,True,0.07110465105992214,0.04753708739747374,0.9590768159865669,0.01,0.2,True,False,True,True,False,True
11,36,0.380915677697893,1.9755050029422554,True,0.3557725385306931,0.29969487222609265,0.8238588582210307,0.06,0.18,True,True,True,True,True,True
8,75,0.573472425025118,1.5508270714311827,False,0.16577990919847085,0.12943366432301648,-0.5764126800748,0.01,0.01,False,False,False,True,True,True
6,17,0.23634026923960455,0.8772891448000482,False,0.869857434348173,0.8232412289039457,-0.4028138804191299,0.01,0.01,False,False,False,True,True,True
8,13,0.553589442252226,0.7044232768775246,False,0.18274629465110515,0.12294881666979222,-0.20563174641600712,0.01,0.01,False,False,False,True,True,True
7,21,0.4410753182923207,0.8379844725916032,False,0.22261958394106474,0.17300446391192564,-0.4767920929627232,0.01,0.01,False,False,False,True,True,True
9,47,0.4982263985642633,0.7642118682865323,False,0.8467271049762197,0.8239640601934061,-0.13031004079277442,0.01,0.01,False,False,False,True,True,True
6,59,0.49541134945477944,1.015794925552373,False,0.6564009662519976,0.6411634647797926,-0.18830150087784658,0.01,0.01,False,False,False,True,True,True
7,35,0.06879635849987119,0.7200874499199241,False,0.2930967106859601,0.2483468220247278,-0.7876439626223759,0.01,0.01,False,False,False,True,True,True
6,62,0.43940480044428604,1.4589556168204252,True,0.19564275075041626,0.15643459980525487,0.8338326224560635,0.05,0.23,True,False,True,True,False,True
12,64,0.15685950371394422,1.7928826443040446,False,0.31118364900241335,0.2557081349535889,-0.33248968648695887,0.01,0.01,False,False,False,True,True,True
11,53,0.3102926144611368,0.39002645418242926,True,0.025787109489298077,0.020272140050706853,0.9035930662551647,0.01,0.06,True,False,True,True,False,True
11,31,0.18468265948113288,1.2830836073748766,True,0.40187908780513826,0.30901369682540214,0.9562888637305578,0.15,0.11,True,True,True,True,True,True
11,64,0.38321215365169237,1.1683696523714948,False,0.4296713790343144,0.3723290827645751,-0.21631520770910395,0.01,0.01,False,False,False,True,True,True
12,66,0.35223355743940676,0.4279443458126079,True,0.880741978475268,0.8660889476614021,0.8644124131161484,0.38,0.28,True,True,True,True,True,True
11,22,0.587808536504412,1.3620869578064165,False,0.29887080786240217,0.22099184353683252,-0.4531749740893114,0.01,0.01,False,False,False,True,True,True
3,27,0.47612395440680066,0.6073009387698984,True,0.2640652777266116,0.2055850992754977,0.7648852099493357,0.76,0.84,True,True,True,True,True,True
9,45,0.0621014419913239,0.8300003776282319,True,0.3702928956432445,0.3133120307894926,0.9952502974141131,0.35,0.39,True,True,True,True,True,True
9,62,0.4066490886842494,0.39121674684252605,True,0.3904542379670901,0.33065351601495124,0.8354519644790928,0.77,0.66,True,True,True,True,True,True
3,16,0.253500084161722,1.2847304696561572,False,0.8336540474605537,0.8085670006676596,-1.2791364554860158,0.01,0.01,False,False,False,True,True,True
