K,n_per_facility,sigma,heterogeneity,is_universal,r2_lofo,protocol_says_universal,bootstrap_a_ci_lo,bootstrap_a_ci_hi,bootstrap_a_stable,obs_sigma_hat,obs_hetero_hat,perm_pvalue,perm_says_universal,perm_correct,correct,scenario_id
10,53,0.4053053716410387,2.57514840541943,False,-0.22879923676641023,False,-0.5752748283693102,0.14271706471931095,False,7.228091523106344,0.4910576365781178,0.01,False,True,True,141
9,99,0.05246175910039418,2.6514933411952173,True,0.9970579178789237,True,-0.4514560457115428,-0.4487303754972978,True,0.05394350269839498,0.0019209693964916585,0.98,True,True,True,142
3,88,0.2799511528273524,0.14382885097420384,True,0.9192676815703215,True,-0.4537467840692561,-0.4403409896265656,True,0.26425433230940126,0.007184828282732489,0.5,True,True,True,143
11,70,0.24436135311668622,1.837305704141162,False,-0.1669018915261904,False,-0.7151679877781404,-0.2337194491598757,True,5.106346243225059,0.44895490598672566,0.01,False,True,True,144
2,80,0.5315555573363933,0.3025792235388445,True,0.7041043210008365,True,-0.45534905243241386,-0.44578680750600924,True,0.5326390299680823,0.004781122463202669,0.03,False,False,True,145
14,34,0.052015812688337305,0.8338920668845026,False,0.1851164656063472,True,-0.6428176902486924,-0.4146548757079551,True,1.849274475074248,0.1546543041221835,0.01,False,True,False,146
8,66,0.5889133450675852,0.9770760443402617,True,0.7568338989965608,True,-0.4752203876308142,-0.4318444416712606,True,0.5641349385927068,0.028780493714639782,0.65,True,True,True,147
4,28,0.3123520412493391,0.37397815863636574,False,0.20405336468789936,True,-0.6383283855461975,-0.39619627651083994,True,1.0429746356248502,0.0756399130890049,0.01,False,True,False,148
16,70,0.11285190433984625,0.3350434522689857,False,0.1468242451351507,True,-0.5194139366209821,-0.3504466233041702,True,1.5698676477047784,0.11844896390863416,0.01,False,True,False,149
8,22,0.2526682704585587,2.9237071826357193,False,-0.3393927875590175,False,-1.2138644986605547,0.4565762136094858,False,17.63006668629458,1.3349348859044081,0.01,False,True,True,150
16,84,0.562850811957246,1.347376042911399,False,-0.09266851154344313,False,-0.84610357461159,-0.37282684783445286,True,6.4952891948040925,0.4568330114677615,0.01,False,True,True,151
6,23,0.5257597251714403,0.508450124300325,True,0.7737315624069427,True,-0.4917889978123084,-0.38459134372742343,True,0.5243676414107195,0.06937581139883081,0.21,True,True,True,152
12,39,0.09185311007131682,2.685363969136735,True,0.991557554307622,True,-0.4533014235195748,-0.44803474376160546,True,0.08912895654255847,0.005335550379709844,0.99,True,True,True,153
